Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Chicken Fillet Meal EGY QC,,,,,,,,,,,,,,
Chicken Fillet Meal HD EGY QC,Delivery Charges,,,,,,,,,,,,,
Add Spicy Powder HRD TO,Chicken Fillet HRD EGY TO,Delivery Charges,Large Skin Fries  EGY TO,Medium Skin Fries  EGY TO,Mirinda Orange Can EGY TO,Mush&Swiss Sand  EGY TO,Mustard Cup EGY TO,,,,,,,
Angus Original Meal HD EGY QC,Cheddar Cheese 4 OZ EGY TO,Chicken Fillet HRD EGY TO,Delivery Charges,Lettuce HRD EGY TO,,,,,,,,,,
Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Cordon Blue Meal EGY QC,,,,,,,,,,,,,,
Chicken Spicy Meal EGY QC,,,,,,,,,,,,,,
4oz Jalapeno Cup  EGY,Vodafone Mushroom&Cookie EGY QC,,,,,,,,,,,,,
Small Aquafina EGY TO,,,,,,,,,,,,,,
Cheddar Cheese 4 OZ EGY,Crispy Culrs (Large) EGY,,,,,,,,,,,,,
4oz Jalapeno Cup  EGY,Double Burger Meal EGY QC,,,,,,,,,,,,,
Famous Cheese Star EGY QC,,,,,,,,,,,,,,
Mushroom Double Treat QC,,,,,,,,,,,,,,
Mush&Swiss Sand  EGY TO,,,,,,,,,,,,,,
American Cheese HRD EGY,Chicken Salad  EGY,Extra Mayonnaise EGY,Lettuce HRD EGY,Mush Super Star Sandwich  EGY,Onion HRD EGY,Pickles HRD EGY,Special Sauce EGY,Super Star Sandwich EGY,Tomato HRD EGY,,,,,
Chicken Wrap Spicy sand EGY TO,,,,,,,,,,,,,,
Delivery Charges,El Kabeer Meal EGY QC,Loaded Fries EGY TO,,,,,,,,,,,,
Famous Cheese Star EGY QC,,,,,,,,,,,,,,
Add Spicy Powder HRD TO,Delivery Charges,Famous Star Sandwich  EGY TO,Mayonnaise Pack EGY TO,Medium Skin Fries  EGY TO,Ranch Dressing Cup HRD EGY TO,Super Star Meal HD EGY QC,,,,,,,,
Chicken Star 6 Pcs EGY TO,Delivery Charges,Pepsi Bottle EGY TO,Super Star Meal HD EGY QC,,,,,,,,,,,
Roastbeef Cheddar EGY QC,,,,,,,,,,,,,,
Roastbeef Cheddar EGY QC,,,,,,,,,,,,,,
El Kabeer Meal EGY QC,,,,,,,,,,,,,,
Famous Cheese Star EGY QC,,,,,,,,,,,,,,
Big Solo Meal EGY QC,,,,,,,,,,,,,,
Jalapeno Chicken Meal EGY QC,Large Pepsi  EGY TO,,,,,,,,,,,,,
Mushroom Double Treat QC,,,,,,,,,,,,,,
4oz Jalapeno Cup  EGY TO,Cheddar Cheese 4 OZ EGY TO,Mushroom Double Treat QC,,,,,,,,,,,,
Al Ostora Meal EGY QC,,,,,,,,,,,,,,
Delivery Charges,Super Star Chicken(S) HD EGY QC,,,,,,,,,,,,,
Barbeque Cupp EGY TO,Chicken Bites EGY TO,Chicken Star 6 Pcs EGY TO,Crispy Culrs (Large) EGY TO,Delivery Charges,,,,,,,,,,
Cheddar Cheese 4 OZ EGY,Crispy Culrs (Large) EGY,Large Pepsi  EGY,,,,,,,,,,,,
Famous Cheese Star EGY QC,,,,,,,,,,,,,,
Chicken Fillet Meal EGY QC,,,,,,,,,,,,,,
Vodafone Double Cheesebits EGY QC,,,,,,,,,,,,,,
Angus Thick Burger Sand  EGY TO,Cordon Blue Sandwich  EGY TO,O/Super Star Chicken Sandwich KSA EGY TO,,,,,,,,,,,,
Chicken Fillet HRD EGY TO,Chicken Wrap (W/Ranch Sauce)Sand. EGY TO,Chicken Wrap Spicy sand EGY TO,Delivery Charges,Mush&Swiss Sand  EGY TO,,,,,,,,,,
Curly Fries Loaded with Mushroom EGY TO,,,,,,,,,,,,,,
Curly Fries Loaded with Mushroom EGY,,,,,,,,,,,,,,
Small Aquafina EGY,,,,,,,,,,,,,,
Curly Fries Loaded with Mushroom EGY,,,,,,,,,,,,,,
3PC Tender (S) EGY,Crispy Curlys (Regular) EGY,Ranch Dressing Cup HRD EGY,,,,,,,,,,,,
4oz Jalapeno Cup  EGY,Famous Cheese Star EGY QC,,,,,,,,,,,,,
Big Delux EGY TO,Large Skin Fries  EGY TO,,,,,,,,,,,,,
Large Pepsi  EGY,Loaded Fries EGY,,,,,,,,,,,,,
Cheddar Cheese 4 OZ EGY,Chicken Fillet Meal EGY QC,,,,,,,,,,,,,
Medium Pepsi  EGY,,,,,,,,,,,,,,
Chicken Mushroom & Swiss Sandwich - Meal HD QC,Delivery Charges,,,,,,,,,,,,,
Delivery Charges,Vodafone Double Cheesebits HD EGY QC,Vodafone Mushroom&Cookie HD EGY QC,,,,,,,,,,,,
Chicken Star 9 Pcs EGY TO,Delivery Charges,Large Skin Fries  EGY TO,,,,,,,,,,,,
Famous Cheese Star EGY QC,,,,,,,,,,,,,,
Super Star Meal EGY QC,,,,,,,,,,,,,,
Super Star Meal EGY QC,,,,,,,,,,,,,,
Chicken Salad  EGY TO,Delivery Charges,,,,,,,,,,,,,
Angus Clasic Meal HD EGY QC,Delivery Charges,Jalapeno Angus HD EGY QC,Jalapeno Angus Sandwich EGY TO,,,,,,,,,,,
Cheddar Cheese 4 OZ EGY TO,Chicken Fillet Meal EGY QC,,,,,,,,,,,,,
Loaded Fries EGY TO,,,,,,,,,,,,,,
El Kabeer Meal EGY QC,,,,,,,,,,,,,,
Delivery Charges,Loaded Fries EGY TO,Super Star Meal HD EGY QC,,,,,,,,,,,,
Delivery Charges,Mushroom&Swiss Meal HD EGY QC,,,,,,,,,,,,,
Super Star Meal EGY QC,,,,,,,,,,,,,,
Famous Cheese Star EGY QC,,,,,,,,,,,,,,
4oz Jalapeno Cup  EGY,Al Ostora Meal EGY QC,Chicken Fillet HRD EGY,,,,,,,,,,,,
Angus Orginal Meal EGY QC,Cheddar Cheese 4 OZ EGY,,,,,,,,,,,,,
O/Super Star Chicken Sandwich KSA EGY TO,Super Star Chicken(N) EGY QC,,,,,,,,,,,,,
Angus Thick Burger Sand  EGY,,,,,,,,,,,,,,
Vodafone Mushroom&Cookie EGY QC,,,,,,,,,,,,,,
Vodafone Famous Cheese &Cokie EGY QC,,,,,,,,,,,,,,
Vodafone Famous Cheese &Cokie EGY QC,,,,,,,,,,,,,,
Vodafone Famous Cheese &Cokie EGY QC,,,,,,,,,,,,,,
4oz Jalapeno Cup  EGY,American Cheese HRD EGY,Roast Beef & Cheeder  EGY,Super Star Sandwich EGY,,,,,,,,,,,
4oz Jalapeno Cup  EGY,Angus Orginal Meal EGY QC,,,,,,,,,,,,,
Jalapeno Chicken Meal EGY QC,,,,,,,,,,,,,,
